id,asset,milestone_year,investment_integer,capacity,investment_limit,solution
1,NL_Solar,2030,true,18.0,,106.0
2,NL_Wind_Onshore,2030,true,49.0,,557.0
3,NL_Wind_Offshore,2030,true,49.0,,-0.0
4,NL_Coal,2030,true,824.0,,6.0
5,NL_Nuclear,2030,true,2095.0,,0.0
6,NL_CCGT,2030,true,357.0,,7.0
7,NL_OCGT,2030,true,357.0,,1.0
8,NL_Battery,2030,false,10.0,,50.83395003049122
9,BE_Solar,2030,true,18.0,,326.0
10,BE_Wind_Onshore,2030,true,49.0,,389.0
11,BE_Coal,2030,true,824.0,,3.0
12,BE_Nuclear,2030,true,2095.0,,0.0
13,BE_CCGT,2030,true,357.0,,2.0
14,BE_OCGT,2030,true,357.0,,5.0
15,BE_Battery,2030,false,10.0,,6.850713469505308
16,DE_Solar,2030,true,18.0,,2663.0
17,DE_Wind_Onshore,2030,true,49.0,,1991.0
18,DE_Wind_Offshore,2030,true,49.0,,-0.0
19,DE_Coal,2030,true,824.0,,23.0
20,DE_Nuclear,2030,true,2095.0,,0.0
21,DE_CCGT,2030,true,357.0,,23.0
22,DE_OCGT,2030,true,357.0,,16.0
23,DE_Battery,2030,false,10.0,,343.2110957817479
24,FR_Solar,2030,true,18.0,,1487.0
25,FR_Wind_Onshore,2030,true,49.0,,2313.0
26,FR_Wind_Offshore,2030,true,49.0,,-0.0
27,FR_Coal,2030,true,824.0,,8.0
28,FR_Nuclear,2030,true,2095.0,,0.0
29,FR_CCGT,2030,true,357.0,,14.0
30,FR_OCGT,2030,true,357.0,,3.0
31,FR_Battery,2030,false,10.0,,280.1642397728865
32,LU_Solar,2030,true,18.0,,228.0
33,LU_Wind_Onshore,2030,true,49.0,,-0.0
34,LU_Wind_Offshore,2030,true,49.0,,-0.0
35,LU_Coal,2030,true,824.0,,-0.0
36,LU_Nuclear,2030,true,2095.0,,0.0
37,LU_CCGT,2030,true,357.0,,-0.0
38,LU_OCGT,2030,true,357.0,,-0.0
39,LU_Battery,2030,false,10.0,,52.56813040898271
40,CH_Solar,2030,true,18.0,,733.0
41,CH_Wind_Onshore,2030,true,49.0,,-0.0
42,CH_Wind_Offshore,2030,true,49.0,,-0.0
43,CH_Coal,2030,true,824.0,,6.0
44,CH_Nuclear,2030,true,2095.0,,0.0
45,CH_OCGT,2030,true,357.0,,1.0
46,CH_Battery,2030,false,10.0,,107.24988225785481
47,AT_Solar,2030,true,18.0,,134.0
48,AT_Wind_Onshore,2030,true,49.0,,399.0
49,AT_Wind_Offshore,2030,true,49.0,,-0.0
50,AT_Coal,2030,true,824.0,,4.0
51,AT_Nuclear,2030,true,2095.0,,0.0
52,AT_CCGT,2030,true,357.0,,2.0
53,AT_OCGT,2030,true,357.0,,3.0
54,AT_Battery,2030,false,10.0,,9.193758488478757
55,BE_Wind_Offshore,2030,true,49.0,,-0.0
56,CH_CCGT,2030,true,357.0,,2.0
