asset,capacity,capacity_storage_energy,consumer_balance_sense,discount_rate,economic_lifetime,energy_to_power_ratio,group,investment_integer,investment_integer_storage_energy,investment_method,is_seasonal,start_up_cost,shut_down_cost,max_ramp_down,max_ramp_up,min_operating_point,minimum_down_time,minimum_up_time,ramping,storage_method_energy,technical_lifetime,type,unit_commitment,unit_commitment_integer,unit_commitment_method,use_binary_storage_method,max_su_ramp,max_sd_ramp,start_trajectory,shut_trajectory
BE_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,16.5,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,basic,,0.5,0.5,,
BE_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.45,0.45,,
BE_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,9.6,9.6,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.2,0.2,,
BE_Battery,10,100.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
DE_Solar,18,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,,,,,,
DE_Wind_Onshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,,,,,,
DE_Wind_Offshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,,,,,,
DE_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,basic,,0.38,0.38,,
DE_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,16.5,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,basic,,0.5,0.5,,
DE_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.45,0.45,,
DE_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,9.6,9.6,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.2,0.2,,
DE_Battery,10,100.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
FR_Solar,18,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,,,,,,
FR_Wind_Onshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,,,,,,
FR_Wind_Offshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,,,,,,
FR_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,basic,,0.38,0.38,,
FR_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,16.5,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,basic,,0.5,0.5,,
FR_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.45,0.45,,
FR_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,9.6,9.6,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.2,0.2,,
FR_Battery,10,100.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
LU_Solar,18,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,,,,,,
LU_Wind_Onshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,,,,,,
LU_Wind_Offshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,,,,,,
LU_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,basic,,0.38,0.38,,
LU_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,16.5,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,basic,,0.5,0.5,,
LU_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.45,0.45,,
LU_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,9.6,9.6,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.2,0.2,,
LU_Battery,10,100.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
CH_Solar,18,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,,,,,,
CH_Wind_Onshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,,,,,,
CH_Wind_Offshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,,,,,,
CH_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,basic,,0.38,0.38,,
CH_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,16.5,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,basic,,0.5,0.5,,
CH_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.45,0.45,,
CH_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,9.6,9.6,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.2,0.2,,
CH_Battery,10,100.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
AT_Solar,18,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,,,,,,
AT_Wind_Onshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,,,,,,
AT_Wind_Offshore,49,,,0.05,100.0,0.0,,true,false,simple,false,,,,,0.0,,,false,false,100.0,producer,false,true,,,,,,
AT_Coal,824,,,0.05,100.0,0.0,,true,false,simple,false,35.64,35.64,0.5,0.5,0.325,6.0,5.0,true,false,100.0,producer,true,true,basic,,0.38,0.38,,
AT_Nuclear,2095,,,0.05,100.0,0.0,,true,false,simple,false,16.5,16.5,0.3,0.3,0.5,10.0,6.0,true,false,100.0,producer,true,true,basic,,0.5,0.5,,
AT_CCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,34.2,34.2,1.0,1.0,0.45,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.45,0.45,,
AT_OCGT,357,,,0.05,100.0,0.0,,true,false,simple,false,9.6,9.6,1.0,1.0,0.2,2.0,3.0,true,false,100.0,producer,true,true,basic,,0.2,0.2,,
AT_Battery,10,100.0,,0.05,15.0,0.0,,false,false,simple,false,,,,,,,,,true,15.0,storage,,true,,,,,,
NL_Balance,0,,,,,,,,,,,,,,,,,,,,,hub,,,,,,,,
BE_Balance,0,,,,,,,,,,,,,,,,,,,,,hub,,,,,,,,
DE_Balance,0,,,,,,,,,,,,,,,,,,,,,hub,,,,,,,,
FR_Balance,0,,,,,,,,,,,,,,,,,,,,,hub,,,,,,,,
LU_Balance,0,,,,,,,,,,,,,,,,,,,,,hub,,,,,,,,
CH_Balance,0,,,,,,,,,,,,,,,,,,,,,hub,,,,,,,,
AT_Balance,0,,,,,,,,,,,,,,,,,,,,,hub,,,,,,,,
NL_E_Demand,0,,,,,,,,,,,,,,,,,,,,,consumer,,,,,,,,
BE_E_Demand,0,,,,,,,,,,,,,,,,,,,,,consumer,,,,,,,,
DE_E_Demand,0,,,,,,,,,,,,,,,,,,,,,consumer,,,,,,,,
FR_E_Demand,0,,,,,,,,,,,,,,,,,,,,,consumer,,,,,,,,
LU_E_Demand,0,,,,,,,,,,,,,,,,,,,,,consumer,,,,,,,,
CH_E_Demand,0,,,,,,,,,,,,,,,,,,,,,consumer,,,,,,,,
AT_E_Demand,0,,,,,,,,,,,,,,,,,,,,,consumer,,,,,,,,
NL_H_Demand,0,,>=,,,,,,,,,,,,,,,,,,,consumer,,,,,,,,
BE_H_Demand,0,,>=,,,,,,,,,,,,,,,,,,,consumer,,,,,,,,
DE_H_Demand,0,,>=,,,,,,,,,,,,,,,,,,,consumer,,,,,,,,
FR_H_Demand,0,,>=,,,,,,,,,,,,,,,,,,,consumer,,,,,,,,
LU_H_Demand,0,,>=,,,,,,,,,,,,,,,,,,,consumer,,,,,,,,
CH_H_Demand,0,,>=,,,,,,,,,,,,,,,,,,,consumer,,,,,,,,
AT_H_Demand,0,,>=,,,,,,,,,,,,,,,,,,,consumer,,,,,,,,
